iter	Passed	Remaining
0	98	98726
1	99	49811
2	100	33381
3	101	25264
4	102	20314
5	102	17003
6	103	14633
7	103	12894
8	104	11522
9	105	10442
10	106	9558
11	106	8801
12	107	8159
13	108	7617
14	108	7149
15	109	6740
16	110	6371
17	110	6041
18	111	5744
19	111	5477
20	112	5253
21	114	5070
22	114	4872
23	116	4739
24	117	4573
25	117	4416
26	118	4268
27	119	4152
28	123	4124
29	123	4007
30	124	3901
31	125	3796
32	126	3698
33	127	3615
34	128	3537
35	129	3456
36	129	3378
37	130	3303
38	131	3231
39	131	3162
40	132	3096
41	133	3034
42	133	2977
43	134	2924
44	135	2879
45	136	2828
46	137	2780
47	137	2733
48	138	2687
49	139	2643
50	139	2601
51	140	2560
52	141	2522
53	142	2488
54	143	2457
55	143	2423
56	144	2391
57	145	2360
58	146	2329
59	146	2298
60	147	2269
61	148	2242
62	149	2217
63	150	2201
64	151	2177
65	152	2153
66	152	2128
67	153	2104
68	154	2081
69	154	2057
70	155	2035
71	156	2016
72	157	2003
73	158	1986
74	160	1984
75	163	1991
76	168	2015
77	169	2008
78	173	2020
79	175	2015
80	176	2000
81	177	1984
82	177	1963
83	178	1951
84	181	1949
85	182	1940
86	183	1926
87	185	1924
88	187	1920
89	190	1929
90	191	1917
91	192	1903
92	193	1891
93	195	1882
94	196	1871
95	197	1860
96	198	1847
97	199	1835
98	200	1823
99	202	1824
100	203	1814
101	204	1802
102	205	1791
103	206	1780
104	208	1780
105	210	1771
106	211	1767
107	214	1773
108	217	1778
109	219	1774
110	223	1788
111	225	1785
112	226	1775
113	227	1765
114	232	1789
115	233	1781
116	234	1768
117	235	1757
118	236	1748
119	236	1737
120	237	1725
121	238	1714
122	239	1705
123	240	1695
124	240	1684
125	241	1674
126	242	1664
127	242	1655
128	243	1645
129	244	1634
130	244	1624
131	245	1615
132	246	1606
133	247	1597
134	247	1588
135	248	1580
136	249	1571
137	250	1562
138	250	1554
139	251	1545
140	252	1536
141	252	1526
142	253	1518
143	254	1511
144	254	1502
145	255	1495
146	256	1488
147	257	1481
148	258	1474
149	258	1466
150	259	1460
151	260	1455
152	261	1448
153	262	1441
154	263	1437
155	264	1431
156	265	1424
157	266	1417
158	267	1412
159	268	1407
160	268	1400
161	269	1394
162	270	1389
163	271	1382
164	271	1376
165	272	1370
166	273	1363
167	274	1358
168	275	1353
169	276	1348
170	277	1343
171	277	1337
172	278	1331
173	279	1325
174	279	1319
175	280	1313
176	281	1308
177	282	1304
178	283	1299
179	284	1293
180	284	1288
181	285	1282
182	285	1276
183	286	1271
184	287	1266
185	288	1260
186	288	1256
187	289	1251
188	290	1246
189	291	1241
190	292	1236
191	292	1231
192	293	1226
193	294	1221
194	294	1216
195	295	1211
196	296	1208
197	297	1203
198	297	1199
199	298	1194
200	299	1189
201	299	1184
202	300	1179
203	301	1174
204	301	1171
205	302	1166
206	303	1162
207	304	1158
208	305	1154
209	305	1151
210	306	1147
211	307	1142
212	308	1138
213	308	1134
214	309	1130
215	310	1126
216	311	1123
217	311	1119
218	312	1115
219	313	1112
220	314	1108
221	315	1104
222	315	1100
223	316	1097
224	317	1095
225	319	1092
226	320	1090
227	321	1087
228	322	1084
229	322	1080
230	323	1076
231	324	1074
232	325	1070
233	326	1068
234	327	1065
235	328	1061
236	328	1058
237	329	1054
238	330	1051
239	330	1047
240	331	1044
241	332	1040
242	332	1036
243	333	1033
244	334	1030
245	335	1027
246	336	1026
247	337	1023
248	338	1019
249	338	1016
250	339	1013
251	340	1010
252	341	1007
253	342	1004
254	342	1001
255	343	998
256	344	995
257	344	991
258	345	988
259	346	985
260	346	981
261	347	978
262	348	975
263	348	972
264	349	970
265	350	967
266	351	964
267	351	961
268	352	958
269	353	955
270	353	951
271	354	948
272	355	946
273	355	943
274	357	941
275	357	939
276	358	936
277	359	933
278	360	930
279	360	927
280	361	924
281	362	921
282	362	919
283	363	916
284	364	915
285	365	912
286	366	909
287	367	907
288	367	904
289	368	901
290	369	899
291	369	896
292	370	893
293	371	891
294	372	889
295	372	886
296	373	883
297	374	881
298	374	879
299	375	876
300	376	873
301	376	871
302	377	869
303	378	866
304	379	864
305	380	861
306	380	859
307	381	856
308	381	854
309	382	851
310	383	848
311	383	846
312	384	843
313	385	841
314	386	839
315	386	837
316	387	835
317	388	833
318	389	830
319	389	828
320	390	825
321	391	823
322	391	821
323	392	819
324	393	817
325	394	815
326	395	813
327	395	810
328	396	808
329	396	805
330	397	803
331	398	801
332	398	798
333	399	796
334	401	796
335	401	794
336	402	791
337	403	789
338	403	787
339	404	785
340	405	782
341	405	780
342	406	778
343	407	776
344	408	774
345	408	772
346	409	770
347	410	768
348	410	766
349	411	764
350	412	762
351	412	759
352	413	757
353	414	755
354	414	753
355	415	751
356	416	749
357	417	747
358	417	745
359	418	743
360	419	742
361	419	739
362	420	737
363	421	735
364	422	734
365	422	732
366	423	730
367	424	728
368	425	726
369	425	724
370	426	722
371	427	721
372	427	719
373	428	717
374	429	715
375	430	714
376	431	712
377	432	710
378	432	709
379	433	707
380	434	705
381	434	703
382	435	701
383	436	699
384	436	697
385	437	696
386	438	694
387	439	692
388	439	690
389	440	688
390	441	687
391	441	685
392	442	683
393	443	681
394	443	679
395	444	678
396	445	676
397	446	674
398	446	673
399	447	671
400	448	669
401	448	667
402	449	665
403	450	664
404	450	662
405	451	660
406	452	659
407	453	658
408	454	656
409	455	655
410	456	653
411	456	651
412	457	649
413	458	648
414	459	647
415	461	647
416	462	646
417	463	644
418	463	642
419	464	641
420	465	639
421	465	637
422	466	636
423	467	634
424	468	633
425	468	631
426	475	638
427	477	637
428	478	636
429	486	644
430	487	643
431	488	642
432	492	645
433	493	643
434	494	642
435	495	640
436	496	639
437	497	638
438	498	637
439	499	635
440	500	634
441	501	632
442	502	631
443	503	630
444	504	629
445	505	628
446	506	626
447	507	625
448	508	623
449	509	622
450	510	620
451	510	619
452	512	618
453	513	617
454	514	616
455	515	614
456	516	613
457	517	612
458	520	614
459	522	612
460	523	611
461	524	610
462	524	608
463	525	607
464	526	606
465	527	604
466	528	603
467	529	601
468	530	600
469	531	598
470	531	597
471	532	595
472	534	595
473	535	594
474	536	592
475	537	591
476	538	590
477	539	589
478	540	588
479	541	586
480	542	585
481	542	583
482	543	582
483	545	581
484	546	580
485	547	578
486	547	577
487	548	575
488	549	574
489	550	572
490	551	571
491	551	569
492	552	568
493	553	567
494	554	565
495	554	563
496	555	562
497	557	561
498	557	560
499	558	558
500	559	557
501	559	555
502	560	553
503	561	552
504	561	550
505	562	549
506	563	547
507	564	546
508	565	545
509	565	543
510	566	542
511	567	540
512	568	539
513	568	537
514	573	540
515	574	539
516	575	537
517	576	536
518	578	535
519	579	534
520	580	533
521	581	532
522	581	530
523	582	529
524	583	527
525	583	526
526	584	524
527	585	523
528	586	521
529	586	520
530	587	518
531	588	517
532	588	515
533	589	514
534	589	512
535	590	511
536	591	509
537	591	508
538	592	506
539	593	505
540	593	503
541	594	502
542	595	501
543	596	500
544	597	498
545	598	497
546	598	495
547	599	494
548	600	493
549	601	492
550	602	491
551	603	489
552	603	488
553	604	486
554	605	485
555	605	483
556	606	482
557	607	480
558	608	479
559	608	478
560	609	476
561	610	475
562	610	474
563	611	472
564	612	471
565	612	469
566	613	468
567	614	467
568	614	465
569	615	464
570	616	463
571	616	461
572	617	460
573	618	458
574	619	457
575	619	456
576	620	455
577	621	453
578	622	452
579	623	451
580	624	450
581	625	449
582	626	448
583	627	446
584	628	445
585	629	444
586	629	443
587	630	441
588	631	440
589	632	439
590	632	437
591	633	436
592	634	435
593	634	433
594	635	432
595	636	431
596	636	429
597	637	428
598	638	427
599	638	425
600	639	424
601	640	423
602	641	422
603	641	420
604	642	419
605	643	418
606	643	416
607	644	415
608	645	414
609	646	413
610	646	411
611	647	410
612	648	409
613	649	408
614	649	406
615	650	405
616	651	404
617	652	403
618	652	401
619	653	400
620	654	399
621	655	398
622	655	396
623	656	395
624	657	394
625	657	393
626	658	391
627	659	390
628	660	389
629	660	388
630	661	386
631	662	385
632	662	384
633	663	383
634	664	381
635	664	380
636	665	379
637	666	378
638	667	376
639	667	375
640	668	374
641	669	373
642	669	371
643	670	370
644	671	369
645	671	368
646	672	366
647	673	365
648	673	364
649	675	363
650	676	362
651	677	361
652	678	360
653	678	359
654	679	357
655	680	356
656	680	355
657	682	354
658	683	353
659	683	352
660	684	351
661	685	349
662	685	348
663	686	347
664	687	346
665	688	345
666	688	343
667	689	342
668	690	341
669	691	340
670	691	339
671	692	337
672	693	336
673	693	335
674	694	334
675	694	333
676	695	331
677	696	330
678	697	329
679	697	328
680	698	327
681	699	325
682	699	324
683	700	323
684	701	322
685	701	321
686	702	319
687	703	318
688	704	317
689	704	316
690	705	315
691	706	314
692	707	313
693	707	312
694	708	310
695	708	309
696	709	308
697	710	307
698	711	306
699	711	305
700	712	303
701	713	302
702	713	301
703	714	300
704	715	299
705	715	298
706	716	296
707	717	295
708	717	294
709	718	293
710	719	292
711	719	291
712	720	290
713	721	288
714	721	287
715	722	286
716	723	285
717	723	284
718	724	283
719	725	282
720	726	280
721	726	279
722	727	278
723	727	277
724	728	276
725	729	275
726	729	274
727	730	272
728	731	271
729	731	270
730	732	269
731	733	268
732	733	267
733	734	266
734	735	265
735	735	263
736	736	262
737	737	261
738	737	260
739	738	259
740	739	258
741	739	257
742	740	256
743	741	254
744	741	253
745	742	252
746	742	251
747	743	250
748	744	249
749	745	248
750	745	247
751	746	246
752	747	245
753	747	244
754	748	242
755	749	241
756	750	240
757	750	239
758	751	238
759	752	237
760	752	236
761	753	235
762	753	234
763	754	233
764	755	232
765	756	231
766	757	230
767	758	229
768	759	228
769	759	226
770	760	225
771	761	224
772	761	223
773	762	222
774	763	221
775	763	220
776	764	219
777	765	218
778	765	217
779	766	216
780	767	215
781	767	214
782	768	213
783	769	211
784	770	210
785	770	209
786	771	208
787	772	207
788	773	206
789	773	205
790	774	204
791	775	203
792	775	202
793	776	201
794	777	200
795	777	199
796	778	198
797	779	197
798	780	196
799	780	195
800	781	194
801	782	193
802	782	192
803	783	190
804	784	189
805	784	188
806	785	187
807	786	186
808	786	185
809	787	184
810	788	183
811	788	182
812	789	181
813	790	180
814	790	179
815	791	178
816	792	177
817	792	176
818	793	175
819	793	174
820	794	173
821	795	172
822	795	171
823	796	170
824	797	169
825	797	168
826	798	167
827	799	165
828	799	164
829	800	164
830	801	163
831	802	162
832	803	161
833	803	159
834	804	158
835	805	157
836	805	156
837	806	155
838	807	154
839	807	153
840	808	152
841	809	151
842	809	150
843	810	149
844	811	148
845	811	147
846	812	146
847	813	145
848	813	144
849	814	143
850	815	142
851	815	141
852	816	140
853	817	139
854	818	138
855	819	137
856	819	136
857	820	135
858	821	134
859	821	133
860	822	132
861	823	131
862	823	130
863	824	129
864	825	128
865	826	127
866	826	126
867	827	125
868	827	124
869	828	123
870	829	122
871	829	121
872	830	120
873	831	119
874	832	118
875	832	117
876	833	116
877	834	115
878	834	114
879	835	113
880	836	112
881	836	111
882	837	110
883	838	110
884	839	109
885	839	108
886	840	107
887	841	106
888	841	105
889	842	104
890	843	103
891	843	102
892	844	101
893	845	100
894	845	99
895	846	98
896	847	97
897	848	96
898	849	95
899	850	94
900	850	93
901	851	92
902	852	91
903	853	90
904	853	89
905	854	88
906	855	87
907	856	86
908	856	85
909	857	84
910	858	83
911	858	82
